_id,tipo_de_condicionamento,troco,motivo,data_de_inicio,data_de_fim,observacoes,data_de_registo,latitude,longitude,objectid,esriGeometryPolygon
1005,Estreitamento,"22,00 metros a poente do nº 15",Obras particulares,1635984000000,1636156800000,"",1632783600000,41.15062,-8.616001,14652,"[[[-40470.21480000023, 164810.8949999996], [-40446.67250000031, 164815.97270000054], [-40446.21090000031, 164814.2185999998], [-40469.8707, 164809.2415], [-40470.21480000023, 164810.8949999996]]]"
1006,Corte total,"",Eventos e lazer,1592611200000,1592697600000,"Condicionamento de trânsito com corte de via, entre as 14h e as 19h de sábado, entre as 9h e as 19h de domingo e entre as 9h e as 19h nos feriados",1593475200000,41.14062,-8.604332,14603,"[[[-39999.99999999995, 163624.2599999995], [-40002.67829999981, 163636.13079999885], [-39998.80250000023, 163636.4289000002], [-39986.18140000007, 163638.01899999916], [-39974.156600000286, 163641.49719999923], [-39964.61629999983, 163645.9693000002], [-39964.660000000214, 163647.58999999973], [-39955.830000000235, 163651.40000000005], [-39877.13999999971, 163680.359999999], [-39847.26719999967, 163687.13189999925], [-39833.450000000186, 163689.69999999928], [-39812.36000000035, 163692.38000000097], [-39748.695600000225, 163708.6785000004], [-39672.48000000044, 163730.4499999992], [-39647.73429999963, 163736.8297000008], [-39633.23000000045, 163740.289999999], [-39618.980000000505, 163742.3800000008], [-39604.75000000019, 163743.1300000005], [-39583.1399999997, 163741.90000000095], [-39560.543300000005, 163737.39750000046], [-39544.145899999916, 163735.0123999993], [-39532.6179999996, 163734.21739999967], [-39519.9699999997, 163735.0500000013], [-39479.49079999975, 163740.7986999994], [-39370.6789999996, 163757.41840000104], [-39329.91820000023, 163762.8427000004], [-39303.36000000039, 163764.26999999947], [-39279.326399999714, 163763.93449999994], [-39256.45330000014, 163762.44679999998], [-39228.91139999961, 163758.98760000075], [-39202.74139999967, 163753.4382000011], [-39158.8600000003, 163740.14000000048], [-39132.889999999614, 163729.69999999917], [-39111.66000000014, 163719.08999999933], [-39035.2325999998, 163673.31959999917], [-38867.90999999998, 163571.30000000048], [-38874.831600000114, 163566.46639999904], [-39017.340400000154, 163653.12450000062], [-39067.42719999987, 163683.7331000004], [-39121.68780000046, 163715.13670000105], [-39140.37100000032, 163724.0808000009], [-39167.20320000029, 163734.81360000093], [-39197.41430000026, 163744.15520000033], [-39221.26510000061, 163749.7203999998], [-39245.31470000003, 163753.69549999933], [-39270.15930000036, 163755.68310000107], [-39287.0537, 163756.4781], [-39310.705799999654, 163756.27940000014], [-39334.55659999976, 163754.8880999995], [-39363.17760000005, 163750.31670000043], [-39463.74870000042, 163735.60870000016], [-39500.91619999987, 163729.64599999913], [-39528.940999999664, 163727.65839999865], [-39539.87260000039, 163728.0559000001], [-39554.18310000007, 163729.6459999993], [-39575.45010000003, 163732.82609999948], [-39600.09599999981, 163734.61490000036], [-39612.02139999992, 163734.41609999895], [-39630.50580000037, 163732.62729999985], [-39648.791400000475, 163729.84469999946], [-39660.51810000001, 163726.26710000093], [-39699.673200000165, 163714.73919999952], [-39999.99999999995, 163624.2599999995]], [[-39922.269999999546, 163660.35999999978], [-39921.91999999992, 163659.2300000006], [-39889.96, 163668.9100000002], [-39831.03000000029, 163686.71000000075], [-39841.540000000015, 163684.9000000006], [-39922.269999999546, 163660.35999999978]]]"
1007,Corte total,"Vias de inversão de sentido de trânsito, no troço compreendido entre a Rua de Sampaio Bruno e a Rua do Dr. Artur de Magalhães asto",Obras particulares,1629673200000,1633906800000,"",1631228400000,41.14595,-8.612219,14604,"[[[-40152.6200000001, 164294.28999999852], [-40149.969999999725, 164295.4800000004], [-40148.249999999985, 164296], [-40142.679999999695, 164296.24999999962], [-40137.51999999972, 164294.41999999966], [-40135.610000000364, 164293.14999999912], [-40134.753799999904, 164292.32560000016], [-40133.66999999989, 164291.2699999997], [-40135.44000000034, 164279.58000000016], [-40135.34999999961, 164283.1699999998], [-40136.82000000036, 164286.90000000023], [-40139.45999999994, 164289.55000000054], [-40141.200000000215, 164290.46000000086], [-40143.07000000031, 164291.01999999923], [-40144.99999999994, 164291.18000000028], [-40146.860000000284, 164290.96000000092], [-40148.759999999755, 164290.35999999917], [-40150.459999999934, 164289.39000000013], [-40151.98000000048, 164288.03999999902], [-40153.92999999969, 164284.91000000032], [-40152.6200000001, 164294.28999999852]]]"
1008,Estreitamento,"na intersecção com a Estrada da Circunvalação, numa extensão de aproximadamente 15 metros",Manutenção de elementos da via pública,1616716800000,1616716800000,Das 10:00 às 16:00,1616544000000,41.17940,-8.583109,14605,"[[[-37683.1699999998, 168003.09000000003], [-37680.2708999999, 168003.59689999968], [-37677.886099999785, 167995.87010000116], [-37678.172199999884, 167984.0415000007], [-37681.45000000015, 167984.86999999883], [-37681.53999999997, 167994.36999999903], [-37683.1699999998, 168003.09000000003]]]"
1009,Corte total,entre a Rua de S. Dinis e a Rua Nove de Abril,Obras particulares,1630105200000,1630105200000,08H00/18H00,1629068400000,41.16800,-8.617757,14606,"[[[-40502.88929999996, 166629.82929999853], [-40500.70000000018, 166629.39999999985], [-40509.847699999744, 166628.28299999988], [-40607.2653000001, 166730.72610000017], [-40656.747200000056, 166861.00269999923], [-40650.561999999976, 166866.80140000032], [-40603.39950000034, 166734.20529999945], [-40601.466599999985, 166732.27239999908], [-40502.88929999996, 166629.82929999853]]]"
1010,Estacionamento,"",Manutenção do arvoredo,1558915200000,1559001600000,"",1558483200000,"","",14607,"[[[-42621.98570000007, 165392.99400000114], [-42624.45299999981, 165394.5785000007], [-42591.25100000022, 165451.12890000088], [-42556.647900000185, 165477.8408000011], [-42554.86380000045, 165474.9145999996], [-42590.816499999746, 165448.43490000066], [-42621.98570000007, 165392.99400000114]]]"
1011,Estreitamento,"a poente  do nº 5004, numa extensão aproximadamente de 15,00 metros",Manutenção de elementos da via pública,1633647600000,1633647600000,10H00/16H00,1631660400000,41.16604,-8.683027,14608,"[[[-46083.3645000001, 166564.89220000088], [-46062.35429999978, 166560.3357999991], [-46064.37940000005, 166552.7418000011], [-46084.88329999981, 166557.29820000072], [-46083.3645000001, 166564.89220000088]]]"
1012,Estacionamento,"",Manutenção do arvoredo,1558915200000,1559001600000,"",1558483200000,"","",14609,"[[[-42631.6678999997, 165392.8264000005], [-42631.8903999998, 165393.27629999962], [-42606.14539999979, 165445.16029999964], [-42576.7138000001, 165473.02390000032], [-42552.994599999794, 165486.5665000015], [-42552.11760000039, 165482.52429999947], [-42574.48340000024, 165469.4221999998], [-42602.781499999546, 165442.89780000038], [-42628.071000000484, 165391.9081999996], [-42631.6678999997, 165392.8264000005]]]"
1013,Estacionamento,Ambos os lados e sentidos,Eventos e lazer,1653087600000,1653174000000,Das 00H00 do dia 21/05/2022 às 14H00 do dia 22/05/2022,1652569200000,41.16242,-8.587298,14610,"[[[-38097.46000000003, 166133.48000000085], [-38098.549999999865, 166136.07999999987], [-37983.83999999986, 166086.23000000013], [-37986.54000000008, 166085.2500000013], [-38097.46000000003, 166133.48000000085]]]"
1014,Estacionamento,"",Eventos e lazer,1561852800000,1561852800000,"",1559520000000,41.14720,-8.614424,14611,"[[[-40379.30439999979, 164383.60170000055], [-40390.59260000005, 164357.9799000009], [-40408.14659999966, 164319.1578999996], [-40418.64140000008, 164294.54089999985], [-40420.77869999962, 164294.88929999995], [-40381.325299999706, 164384.62230000118], [-40379.30439999979, 164383.60170000055]]]"
1015,Estacionamento,"",Manutenção do arvoredo,1558915200000,1559001600000,"",1558483200000,"","",14612,"[[[-42559.885499999706, 165374.2796999996], [-42562.12770000014, 165375.86289999998], [-42524.94440000034, 165420.27889999916], [-42488.863500000014, 165430.1609999997], [-42462.31819999959, 165426.41740000033], [-42432.93240000034, 165407.8542999997], [-42434.74529999966, 165405.84630000015], [-42463.4622, 165423.28399999932], [-42489.10689999998, 165427.0223999991], [-42524.51369999997, 165416.9120000007], [-42559.885499999706, 165374.2796999996]]]"
1016,Estacionamento,"",Manutenção do arvoredo,1558915200000,1559001600000,"",1558483200000,"","",14613,"[[[-42545.122000000476, 165489.64349999974], [-42540.02770000038, 165515.1421000005], [-42538.67210000006, 165514.61360000088], [-42542.977900000355, 165490.52820000018], [-42513.07220000032, 165483.96120000034], [-42507.986399999856, 165506.69639999975], [-42505.51379999984, 165506.0090999998], [-42511.73649999963, 165481.37410000002], [-42545.122000000476, 165489.64349999974]], [[-42540.02770000038, 165515.1421000005], [-42540.13219999983, 165515.18290000013], [-42540.019700000135, 165515.18219999943], [-42540.02770000038, 165515.1421000005]]]"
1017,Estacionamento,"",Manutenção do arvoredo,1558915200000,1559001600000,"",1558483200000,"","",14614,"[[[-42504.85630000006, 165469.94759999984], [-42502.377799999864, 165470.2695999999], [-42495.13609999966, 165438.04209999935], [-42497.617200000204, 165437.27160000082], [-42504.85630000006, 165469.94759999984]]]"
1018,Estreitamento,"A poente do nº 5041, numa extensão aproximadamente de 15,00 metros",Manutenção de elementos da via pública,1633647600000,1633647600000,10H00/16H00,1633042800000,41.16598,-8.683616,14615,"[[[-46111.71549999992, 166553.5011999993], [-46113.48749999986, 166545.90709999937], [-46134.49770000021, 166550.4636000001], [-46132.72570000027, 166558.5638999997], [-46111.71549999992, 166553.5011999993]]]"
1019,Corte total,"",Obras públicas,1637712000000,1637884800000,"",1635897600000,41.14440,-8.625511,14616,"[[[-41382.78180000003, 164135.3250999992], [-41327.25999999982, 164131.41999999998], [-41284.49480000051, 164139.54089999886], [-41241.512600000075, 164149.47120000035], [-41230.830799999654, 164150.33730000112], [-41221.40000000037, 164145.42950000058], [-41215.01999999952, 164139.39000000068], [-41209.17850000031, 164131.47580000057], [-41204.719999999565, 164124.0199999996], [-41201.71000000001, 164120.00000000006], [-41194.13499999977, 164113.40269999983], [-41184.15809999978, 164104.14579999994], [-41173.14780000043, 164094.0590000007], [-41163.37189999961, 164085.47670000108], [-41171.509999999944, 164085.93999999925], [-41197.17420000019, 164106.6919999998], [-41212.45040000049, 164119.15799999936], [-41210.690000000446, 164121.0899999993], [-41211.330000000075, 164123.69999999882], [-41215.03000000022, 164131.61999999915], [-41220.02519999996, 164135.8208000005], [-41229.110000000386, 164142.90000000075], [-41232.370500000245, 164145.33320000005], [-41241.099999999664, 164147.5399999996], [-41256.542399999664, 164143.11049999986], [-41277.56460000012, 164137.24389999907], [-41319.268400000554, 164125.60559999954], [-41341.4599999998, 164128.11999999918], [-41386.23000000055, 164132.2300000004], [-41382.87810000035, 164135.22880000062], [-41382.78180000003, 164135.3250999992]]]"
1020,Estacionamento,entre o nº 140 e a Avenida Camilo,Obras públicas,1637712000000,1638748800000,"",1639440000000,41.14758,-8.594352,14617,"[[[-38623.29640000036, 164392.11669999931], [-38626.182599999935, 164391.34699999884], [-38661.202499999614, 164538.5460000004], [-38658.31620000016, 164539.31560000015], [-38623.29640000036, 164392.11669999931]]]"
1021,Estreitamento,Entre o Largo da Igreja de Paranhos e a Rua Alfredo Allen,Passagem de cabo de fibra ótica,1644278400000,1644537600000,"das 00H às 07H, das 10H às 16H e das 21H às 24H",1639440000000,41.17286,-8.604800,14618,"[[[-39613.33860000032, 167281.57110000047], [-39607.60740000014, 167280.38209999984], [-39593.19189999996, 167279.98960000058], [-39573.77250000002, 167280.31110000078], [-39554.9973999997, 167280.50210000094], [-39550.997399999724, 167280.30210000087], [-39546.80310000007, 167280.45309999943], [-39501.94739999994, 167282.17210000032], [-39500.50289999978, 167282.23310000065], [-39493.633600000234, 167282.5085999996], [-39483.042600000255, 167282.88959999903], [-39480.31850000008, 167283.00510000106], [-39473.66370000034, 167283.2215], [-39469.48699999977, 167283.38199999928], [-39421.533499999874, 167286.4041000003], [-39403.29, 167286.73899999977], [-39402.12449999988, 167271.82829999953], [-39421.67750000018, 167270.96020000053], [-39436.76429999993, 167270.31809999977], [-39455.387299999566, 167269.63599999974], [-39474.94419999983, 167268.75200000053], [-39484.06670000032, 167268.5098999997], [-39499.687400000206, 167272.79209999903], [-39556.35740000004, 167270.24210000096], [-39565.657399999865, 167269.6320999996], [-39580.97740000015, 167269.09210000042], [-39613.30740000029, 167274.63209999856], [-39613.33860000032, 167281.57110000047]]]"
