_id,tipo_de_condicionamento,troco,motivo,data_de_inicio,data_de_fim,observacoes,data_de_registo,latitude,longitude,objectid,esriGeometryPolygon
1,Alteração de sentidos,"Largo Padre Inácio Gomes, arruamento sul e Rua de Santa Luzia, no troço compreendido entre o Largo Padre Inácio Gomes e a Travessa da Senhora do Porto",Obras públicas,1606089600000,1614556800000,Prorrogação até 1/03/2021,1614556800000,41.17461,-8.633145,13575,"[[[-41985.44000000026, 167493.75999999972], [-41985.24000000019, 167493.3499999999], [-41984.496100000164, 167493.27989999932], [-41970.49000000023, 167491.9600000003], [-41961.12000000011, 167490.94999999928], [-41944.59680000041, 167488.42559999938], [-41928.358199999726, 167485.8693000006], [-41906.93209999992, 167482.4735000005], [-41888.74000000029, 167479.57000000036], [-41884.24999999994, 167479.1900000004], [-41879.749999999956, 167479.39000000092], [-41846.21459999953, 167485.24310000075], [-41840.55999999962, 167486.2300000001], [-41840.62000000016, 167487.68999999992], [-41834.65000000037, 167488.38000000088], [-41822.24000000012, 167490.16000000018], [-41809.67999999973, 167491.9700000011], [-41809.82000000032, 167492.49999999983], [-41790.66999999996, 167496.0200000004], [-41789.9800000004, 167494.2799999998], [-41776.58999999991, 167496.49000000022], [-41776.74000000024, 167497.35999999958], [-41759.19649999956, 167500.3607999997], [-41751.00000000002, 167501.7599999995], [-41749.27020000013, 167497.36580000064], [-41753.39419999993, 167496.55849999908], [-41780.6039000004, 167491.24819999922], [-41792.19159999956, 167489.06970000063], [-41803.139299999864, 167486.99070000084], [-41819.979299999824, 167483.67130000037], [-41837.1117000003, 167480.17759999973], [-41840.75999999981, 167480.23999999993], [-41858.37170000001, 167477.02360000124], [-41865.04150000031, 167475.80540000089], [-41874.02390000031, 167474.16499999788], [-41882.87820000022, 167472.67329999967], [-41897.19899999989, 167470.93229999984], [-41902.12000000009, 167470.48000000065], [-41903.62999999989, 167470.73000000048], [-41906.946899999886, 167471.61989999912], [-41914.835599999715, 167473.7361999998], [-41923.24069999998, 167476.00650000016], [-41931.14109999963, 167478.07589999939], [-41939.719700000285, 167479.85490000068], [-41947.29000000002, 167481.03999999916], [-41947.24000000022, 167481.55999999994], [-41953.94000000044, 167482.38000000064], [-41960.72080000022, 167482.99229999998], [-41979.601700000465, 167485.79900000084], [-41993.33040000036, 167487.8397999993], [-41997.9181000004, 167488.457000001], [-41997.5810000003, 167492.0852000009], [-41985.44000000026, 167493.75999999972]]]"
2,Corte total,entre a Rua Faria Guimaraes e a Rua Moreira da Assunção,Obras particulares,1599782400000,1599868800000,Das 21H00 do dia 11/09 às 07H00 do dia 12/09,1599696000000,41.15663,-8.609079,13576,"[[[-39949.052500000245, 165467.15019999963], [-39791.45359999967, 165492.468699999], [-39799.980800000085, 165486.73949999965], [-39948.652800000295, 165462.5535000008], [-39949.052500000245, 165467.15019999963]]]"
3,Estacionamento,no troço compreendido entre a Rua de Francisco da Rocha Soares e a e o Largo de S. Pedro de Miragaia,Manutenção de elementos da via pública,1595635200000,1597795200000,"",1604534400000,41.14171,-8.619918,13577,"[[[-40709.18499999959, 163780.78900000092], [-40709.110000000255, 163781.27100000015], [-40709.20999999989, 163781.69999999896], [-40707.99749999958, 163781.90750000047], [-40707.55810000004, 163780.87279999955], [-40707.48469999995, 163780.48039999988], [-40707.832799999924, 163779.98600000035], [-40708.49339999998, 163779.55870000113], [-40709.23850000001, 163779.2840000011], [-40709.8416999998, 163779.2121999999], [-40710.38750000013, 163779.1224000006], [-40711.20600000012, 163779.157299999], [-40713.30939999966, 163780.22880000103], [-40717.59570000049, 163782.57039999968], [-40722.27880000044, 163785.26909999872], [-40728.3709000004, 163788.86089999936], [-40733.19290000013, 163791.7580999996], [-40733.96679999963, 163790.9048], [-40734.62170000003, 163791.34129999942], [-40742.20199999969, 163796.0442999992], [-40741.96389999984, 163796.32210000034], [-40741.586799999706, 163796.7784999996], [-40741.24949999995, 163797.15560000017], [-40749.345800000265, 163801.91809999885], [-40760.45830000011, 163809.45869999885], [-40765.696999999636, 163812.63369999966], [-40772.20579999966, 163815.9674999992], [-40779.508299999936, 163819.6186999994], [-40789.0333000002, 163824.22249999977], [-40799.669599999645, 163829.46130000075], [-40811.496500000336, 163835.57310000056], [-40821.18030000016, 163840.41499999922], [-40824.19649999963, 163839.77999999933], [-40835.62660000012, 163844.70130000092], [-40840.70659999996, 163846.74520000044], [-40846.75889999981, 163849.1065999999], [-40854.25989999994, 163852.7578999992], [-40860.23290000012, 163856.01230000003], [-40863.2888000002, 163858.53240000102], [-40867.27739999998, 163862.20350000067], [-40868.58710000013, 163864.12840000002], [-40868.84509999955, 163865.55709999934], [-40868.8251999998, 163866.98589999965], [-40868.48410000002, 163868.97020000088], [-40866.679999999644, 163868.7300000005], [-40867.01999999961, 163867.69999999902], [-40867.2000000002, 163865.72000000026], [-40866.749999999956, 163863.7400000002], [-40859.91660000008, 163857.86800000098], [-40850.95000000013, 163852.3199999998], [-40831.329999999994, 163844.3499999995], [-40823.87000000007, 163841.05000000092], [-40821.21999999961, 163842.35999999964], [-40816.95000000025, 163840.03999999902], [-40812.669999999955, 163837.69999999882], [-40805.03000000028, 163833.96000000052], [-40779.85500000041, 163821.55700000006], [-40774.30499999965, 163818.8179999999], [-40770.55599999985, 163816.97100000083], [-40766.33399999979, 163814.2390000003], [-40762.13399999957, 163812.2389999999], [-40757.77699999978, 163809.4729999989], [-40756.125099999896, 163808.31849999918], [-40754.569000000134, 163807.23100000073], [-40752.14099999978, 163805.78599999985], [-40748.45600000025, 163802.72900000028], [-40748.13999999971, 163803.11600000027], [-40746.43840000048, 163802.00909999956], [-40742.85400000022, 163799.67760000005], [-40739.73199999985, 163797.6470000001], [-40740.76099999995, 163796.302999999], [-40735.61440000032, 163793.06469999976], [-40734.218000000335, 163792.18600000042], [-40733.53000000029, 163793.0549999999], [-40725.08559999984, 163788.2596000004], [-40722.46200000023, 163786.7679999991], [-40718.66779999992, 163784.6021999996], [-40715.63659999979, 163782.87199999925], [-40711.9664000003, 163780.77700000055], [-40710.70299999976, 163780.0730000004], [-40709.64800000011, 163780.21099999914], [-40709.18499999959, 163780.78900000092]]]"
4,Estacionamento,"",Manutenção do arvoredo,1628118000000,1628204400000,"",1625526000000,41.16801,-8.612602,13578,"[[[-40154.379399999954, 166752.38720000006], [-40153.27290000026, 166751.40100000065], [-40169.75110000001, 166732.9021000005], [-40170.6651999997, 166733.9123999998], [-40154.4069999997, 166752.41599999872], [-40154.379399999954, 166752.38720000006]]]"
5,Alteração de sentidos,No troço compreendido entre a Rua do Monte dos Burgos e a Rua de D. António Ferreira Gomes,Obras públicas,1606089600000,1614556800000,Prorrogação até 1/03/2021,1614556800000,41.17705,-8.630256,13579,"[[[-41610.53699999953, 167771.72599999994], [-41611.03859999964, 167771.72279999978], [-41611.53999999999, 167771.65000000052], [-41612.6100000003, 167771.31000000096], [-41613.440000000366, 167770.78999999948], [-41614.3503999998, 167770.02869999936], [-41617.01350000022, 167767.8016999993], [-41622.48240000004, 167763.22040000014], [-41626.88979999994, 167759.52150000114], [-41634.84889999959, 167752.8199000001], [-41639.980999999694, 167748.4652999994], [-41649.244400000265, 167740.5999999999], [-41652.41399999991, 167737.89710000032], [-41656.10819999969, 167734.74690000017], [-41661.33839999975, 167730.28680000122], [-41665.839999999866, 167735.85999999952], [-41660.19199999973, 167740.52610000077], [-41655.64950000028, 167744.27889999942], [-41649.515399999895, 167749.39849999975], [-41645.40950000009, 167752.86510000034], [-41640.61579999985, 167756.9122000006], [-41631.87430000019, 167764.2924000001], [-41628.708100000375, 167766.96550000052], [-41625.20170000013, 167769.9257999992], [-41621.48029999992, 167773.07589999906], [-41618.22580000011, 167775.8321000005], [-41616.129999999896, 167777.6899999993], [-41614.95999999999, 167779.04999999967], [-41614.1799999997, 167780.36999999912], [-41613.629999999896, 167781.6800000002], [-41610.53699999953, 167771.72599999994]]]"
6,Estacionamento,entre o nº 102 e o nº 5,"",1627254000000,1627340400000,"",1625526000000,41.15434,-8.606796,13583,"[[[-39686.06599999961, 165219.21590000004], [-39683.23460000005, 165222.57329999979], [-39682.39310000001, 165222.44439999893], [-39731.30020000038, 165158.02129999932], [-39731.82959999977, 165158.50830000106], [-39685.93369999993, 165219.37230000098], [-39686.06599999961, 165219.21590000004]]]"
7,Estacionamento,"",Manutenção do arvoredo,1628118000000,1628204400000,"",1625526000000,41.16807,-8.612709,13584,"[[[-40209.45519999959, 166704.17950000093], [-40202.34069999958, 166712.35239999928], [-40202.44290000008, 166715.23910000006], [-40143.36190000003, 166782.59530000036], [-40140.57139999993, 166782.59529999984], [-40133.31259999988, 166790.96079999898], [-40132.00160000011, 166789.87819999977], [-40208.76960000018, 166703.5479000005], [-40209.45519999959, 166704.17950000093]]]"
8,Alteração de sentidos,"",Obras públicas,1606435200000,1614556800000,Prorrogação até 1/03/2021,1606435200000,41.17591,-8.630782,13585,"[[[-41560.00760000009, 167631.89970000065], [-41562.429999999746, 167632.03999999966], [-41565.09439999989, 167631.95600000027], [-41575.362399999955, 167631.63220000084], [-41584.330900000394, 167631.26600000056], [-41593.761500000066, 167630.86570000055], [-41597.09669999967, 167630.72409999982], [-41606.42200000025, 167630.41310000097], [-41625.709999999955, 167629.8500000006], [-41626.370000000185, 167628.11999999944], [-41624.15000000036, 167622.1400000003], [-41644.28509999997, 167621.7470999993], [-41664.05919999997, 167621.36130000048], [-41670.79000000004, 167621.2300000002], [-41672.84999999972, 167627.68000000005], [-41673.16999999992, 167628.50999999966], [-41673.40000000038, 167628.74000000078], [-41674.00999999976, 167628.91999999952], [-41677.58619999978, 167628.8155000006], [-41678.45999999996, 167628.78999999972], [-41678.65699999966, 167628.75599999912], [-41678.81900000018, 167628.6839999997], [-41679.05699999993, 167628.46000000119], [-41679.17800000029, 167628.15599999984], [-41679.036000000284, 167627.49200000046], [-41678.190899999754, 167624.84540000005], [-41676.94000000046, 167620.90000000058], [-41695.07000000036, 167620.25999999975], [-41696.90000000039, 167625.31999999977], [-41707.11000000034, 167624.9499999998], [-41708.00999999969, 167620.0500000003], [-41720.554999999695, 167619.60629999972], [-41736.4011000003, 167619.0966000001], [-41752.120000000155, 167618.490000001], [-41753.36000000041, 167623.98000000027], [-41771.1900000004, 167623.57999999987], [-41771.249999999905, 167624.63000000123], [-41771.36000000038, 167625.10999999958], [-41772.09999999967, 167625.81000000078], [-41772.58000000008, 167625.8900000009], [-41778.3733000001, 167625.7437999991], [-41786.62000000019, 167625.52999999907], [-41779.69000000036, 167631.1899999999], [-41779.49999999996, 167630.9499999997], [-41778.21100000006, 167630.88059999948], [-41773.74689999971, 167630.9725], [-41770.46999999977, 167631.03999999954], [-41770.20000000014, 167631.11999999933], [-41769.990000000245, 167631.60999999937], [-41771.855000000425, 167633.92330000017], [-41773.51999999954, 167635.76999999996], [-41769.47890000045, 167638.84649999964], [-41766.90270000045, 167635.82420000053], [-41764.827800000065, 167633.38990000036], [-41763.389999999665, 167632.03999999957], [-41761.50999999973, 167631.32999999917], [-41751.06010000032, 167631.43899999934], [-41740.87320000032, 167631.6533000003], [-41734.24230000003, 167631.80980000115], [-41722.61789999993, 167632.1330999993], [-41706.40240000007, 167632.58420000062], [-41684.75569999962, 167633.18630000055], [-41671.06089999994, 167633.567299999], [-41663.12590000039, 167633.78800000084], [-41649.79459999964, 167634.15880000006], [-41639.36189999987, 167634.4489999992], [-41633.01939999962, 167634.6253999995], [-41617.57060000016, 167635.18380000058], [-41609.20799999959, 167635.50559999875], [-41597.57600000039, 167635.92039999904], [-41590.16150000034, 167636.10529999915], [-41580.45100000031, 167636.3474000008], [-41577.13999999962, 167636.42999999964], [-41568.20999999994, 167636.85999999885], [-41566.84999999966, 167637.05000000133], [-41565.70999999999, 167637.5500000004], [-41564.20999999994, 167638.7400000003], [-41563.1799999997, 167639.92999999973], [-41562.79000000019, 167640.5700000001], [-41562.45999999995, 167641.31000000046], [-41560.00760000009, 167631.89970000065]]]"
9,Estacionamento,"",Manutenção do arvoredo,1628118000000,1628204400000,"",1625526000000,41.16793,-8.612675,13586,"[[[-40209.27479999979, 166692.24169999882], [-40210.33320000017, 166693.10779999944], [-40176.17399999969, 166731.4045999999], [-40166.35919999979, 166723.70670000094], [-40142.880800000436, 166750.36050000045], [-40151.733300000495, 166758.3471000006], [-40127.96619999964, 166786.2518000006], [-40127.196399999964, 166785.5781999995], [-40149.80879999976, 166759.7904000009], [-40150.097500000214, 166758.63570000048], [-40149.712600000166, 166757.57729999901], [-40141.43740000022, 166750.36050000027], [-40166.45550000016, 166722.07090000005], [-40173.28730000001, 166728.3254000007], [-40175.500400000215, 166729.19140000088], [-40176.94379999951, 166728.99900000013], [-40209.27479999979, 166692.24169999882]]]"
10,Estreitamento,No troço compreendido entre o n.º 202 e o Largo da Lapa,Passagem de cabo de fibra ótica,1634770800000,1634857200000,"",1631401200000,41.15664,-8.614094,13587,"[[[-40332.19000000043, 165493.9299999997], [-40284.7189999995, 165479.23139999947], [-40268.19159999964, 165474.1961999995], [-40256.389999999694, 165470.49999999994], [-40255.209999999934, 165470.50000000003], [-40254.08000000002, 165470.99999999965], [-40253.309999999554, 165471.89000000028], [-40256.15000000031, 165466.6199999992], [-40263.000000000015, 165468.73000000106], [-40275.92999999975, 165472.7200000009], [-40280.24000000019, 165474.03999999925], [-40304.109199999824, 165481.37989999936], [-40314.70999999993, 165484.61999999936], [-40333.34449999966, 165490.31240000023], [-40332.19000000043, 165493.9299999997]]]"
11,Corte total,"No troço compreendido entre o n.º 53 e o n.º 181, numa extensão de aproximadamente 270 metros",Passagem de cabo de fibra ótica,1614124800000,1614643200000,00H00/07H00 e 21H00/24H00,1613606400000,41.14929,-8.587113,13590,"[[[-38029.379999999845, 164716.6300000008], [-38024.83910000045, 164716.8805999998], [-38022.990000000194, 164700.25999999937], [-38026.70000000017, 164678.43050000054], [-38028.240899999604, 164669.3638999997], [-38030.60039999991, 164655.4803999993], [-38032.2506999999, 164645.76979999978], [-38034.11000000032, 164634.83000000016], [-38035.3537999997, 164627.2657999987], [-38038.940000000366, 164605.23000000045], [-38040.150000000416, 164599.81000000093], [-38041.9506999998, 164589.90619999956], [-38043.45199999952, 164580.37749999957], [-38046.860000000306, 164580.75000000017], [-38044.64670000034, 164593.69539999965], [-38042.03359999971, 164608.9790000004], [-38037.72910000014, 164634.15590000004], [-38034.019999999524, 164655.8499999988], [-38030.429999999666, 164676.82999999987], [-38027.1799999997, 164696.15000000002], [-38026.37999999984, 164700.97999999995], [-38027.320000000225, 164703.8800000008], [-38029.730000000454, 164704.9800000007], [-38029.379999999845, 164716.6300000008]]]"
12,Corte total,"",Manutenção de elementos da via pública,1595635200000,1597795200000,"",1604534400000,41.14158,-8.619623,13591,"[[[-40871.83939999996, 163864.49360000005], [-40868.48410000002, 163868.97020000088], [-40868.84509999955, 163865.55709999934], [-40868.58710000013, 163864.12840000002], [-40866.406799999975, 163861.40220000022], [-40860.23290000012, 163856.01230000003], [-40855.81500000047, 163853.60520000037], [-40846.75889999981, 163849.1065999999], [-40835.62660000012, 163844.70130000092], [-40824.19649999963, 163839.77999999933], [-40821.18030000016, 163840.41499999922], [-40765.696999999636, 163812.63369999966], [-40741.24949999995, 163797.15560000017], [-40742.20199999969, 163796.0442999992], [-40733.96679999963, 163790.9048], [-40733.19290000013, 163791.7580999996], [-40711.20600000012, 163779.157299999], [-40709.23850000001, 163779.2840000011], [-40707.947999999895, 163779.95109999916], [-40707.48469999995, 163780.48039999988], [-40707.55810000004, 163780.87279999955], [-40704.976200000405, 163780.73509999996], [-40704.120000000155, 163781.07000000065], [-40686.83000000004, 163786.9600000011], [-40683.75000000004, 163785.6899999995], [-40684.17999999975, 163785.40000000026], [-40685.8333, 163783.37809999986], [-40701.78000000038, 163774.6799999995], [-40701.90469999979, 163775.70590000032], [-40711.32639999962, 163775.07399999927], [-40741.2430999998, 163792.02199999985], [-40760.67530000029, 163806.95830000052], [-40824.57990000024, 163837.19519999987], [-40856.55790000034, 163851.4526999999], [-40862.13049999997, 163855.70389999964], [-40871.83939999996, 163864.49360000005]]]"
13,Corte total,"",Manutenção de elementos da via pública,1647993600000,1648252800000,Das 00:00 às 06:00 e das 22:00 às 24:00,1647302400000,41.16184,-8.585492,13592,"[[[-37799.96690000041, 166111.8805999993], [-37774.4831999997, 166122.88910000082], [-37771.34900000048, 166115.77099999986], [-37772.31699999981, 166115.3530000007], [-37772.11400000011, 166115.09099999996], [-37779.08249999958, 166112.08259999967], [-37790.193699999785, 166107.28570000106], [-37795.91280000001, 166104.8166000004], [-37810.47510000036, 166098.52979999967], [-37819.47919999988, 166094.64250000028], [-37835.0482999999, 166087.92100000056], [-37842.155799999884, 166084.85260000092], [-37861.146200000425, 166076.6541000015], [-37870.201700000056, 166072.74460000047], [-37877.151600000376, 166069.5296000004], [-37881.17150000012, 166067.49109999993], [-37883.91999999989, 166066.0629999996], [-37890.231599999555, 166062.19679999916], [-37894.66249999968, 166059.3923000003], [-37905.161100000085, 166051.39430000048], [-37909.1799999995, 166048.06000000052], [-37914.474299999885, 166042.88919999983], [-37918.84800000025, 166038.36460000149], [-37924.201200000025, 166032.24349999937], [-37925.62820000008, 166030.45389999993], [-37928.14730000032, 166027.05040000106], [-37930.847599999935, 166023.40210000053], [-37932.0433999997, 166021.69710000086], [-37933.77080000008, 166018.87539999967], [-37936.6097999998, 166014.23770000084], [-37938.37999999995, 166011.34600000107], [-37940.00999999973, 166008.17510000034], [-37941.34580000027, 166005.5764000004], [-37945.278699999726, 165996.93060000092], [-37946.8803000003, 165992.96170000068], [-37947.70739999971, 165990.80639999968], [-37950.13140000028, 165983.0249000011], [-37950.95969999956, 165980.3658000002], [-37951.367999999806, 165979.0549999999], [-37953.12299999965, 165971.5348000006], [-37953.740000000274, 165968.89100000073], [-37953.98780000019, 165967.0784000014], [-37954.88310000023, 165960.53009999913], [-37955.25700000022, 165957.79500000004], [-37955.72630000025, 165951.0274000003], [-37955.93350000032, 165947.6046999999], [-37955.96079999963, 165945.0748999994], [-37955.92009999971, 165938.24660000025], [-37955.77599999954, 165935.2279999995], [-37955.264000000476, 165929.47749999957], [-37962.87469999964, 165928.67400000102], [-37962.999899999995, 165930.14929999955], [-37963.13489999988, 165931.42380000107], [-37963.17109999986, 165932.71810000052], [-37963.20729999993, 165940.03240000198], [-37963.24359999967, 165944.28069999965], [-37963.24749999955, 165949.81289999923], [-37963.25999999977, 165953.12099999943], [-37962.86579999985, 165956.7087999994], [-37962.06799999994, 165963.97079999963], [-37961.74399999991, 165966.91999999946], [-37961.216400000245, 165969.96589999992], [-37960.93499999955, 165971.50799999965], [-37961.348299999714, 165971.61299999987], [-37960.47389999962, 165975.426899999], [-37958.95830000001, 165981.71629999936], [-37957.848299999765, 165985.2767999993], [-37955.82240000012, 165991.77520000035], [-37955.32509999997, 165993.37030000004], [-37954.6639999999, 165995.20489999992], [-37952.271700000376, 166001.24479999923], [-37948.96690000036, 166008.29079999973], [-37947.10769999953, 166011.9165000009], [-37944.54770000005, 166016.6787999994], [-37943.39929999967, 166018.7349999993], [-37940.278599999896, 166023.54580000037], [-37937.3909999998, 166027.99719999928], [-37936.32600000042, 166029.6390000005], [-37934.09449999963, 166032.47330000042], [-37931.62579999958, 166035.60899999915], [-37928.52309999983, 166039.5500000003], [-37927.62399999979, 166040.61740000013], [-37924.87959999961, 166043.53299999976], [-37920.39180000031, 166048.30089999927], [-37918.71899999959, 166050.0779999998], [-37914.028099999734, 166054.35050000006], [-37912.095300000095, 166056.11080000046], [-37907.97350000037, 166059.41879999998], [-37902.29650000016, 166063.69600000032], [-37899.60599999973, 166065.72299999945], [-37896.62490000018, 166067.56049999996], [-37891.91129999984, 166070.46589999934], [-37887.200799999795, 166073.36940000005], [-37886.314000000275, 166073.91599999924], [-37883.2608000003, 166075.43820000038], [-37877.82809999959, 166078.12910000025], [-37873.55499999959, 166080.08569999947], [-37863.210300000435, 166084.52219999954], [-37859.611499999686, 166086.0789000004], [-37842.945500000475, 166093.29120000103], [-37830.55599999989, 166098.65000000046], [-37815.379700000405, 166105.21409999923], [-37799.96690000041, 166111.8805999993]], [[-37774.4831999997, 166122.88910000082], [-37774.48799999987, 166122.90000000046], [-37774.480999999716, 166122.89000000025], [-37774.4831999997, 166122.88910000082]]]"
14,Corte total,Entre a Rua do Dr. Ricardo Jorge e a Rua de Ramalho Ortigão,Bombagem de betão,1614816000000,1614816000000,"",1624834800000,41.14872,-8.613024,13593,"[[[-40212.89099999977, 164524.8041999994], [-40212.79820000025, 164528.38199999972], [-40210.731999999894, 164607.68920000095], [-40208.95529999958, 164671.5500000009], [-40208.87330000015, 164673.9345999993], [-40209.38329999984, 164675.09459999966], [-40202.34329999978, 164676.95460000023], [-40203.91330000017, 164675.5346000003], [-40205.00329999993, 164673.64460000044], [-40205.59329999984, 164671.0546000008], [-40205.92329999992, 164659.67459999924], [-40207.08669999995, 164615.7332000001], [-40208.37330000003, 164567.13460000095], [-40209.35329999959, 164527.16459999923], [-40209.223299999714, 164525.5945999994], [-40208.463299999974, 164524.7545999998], [-40212.89099999977, 164524.8041999994]]]"
15,Estreitamento,Entre a Rua do Campo Alegre e o n.º 856,Manutenção do arvoredo,1616544000000,1616716800000,Das 9:00 às 18:00,1615939200000,41.15350,-8.648954,13594,"[[[-43217.95000000016, 165144.31000000023], [-43215.62999999986, 165143.88000000097], [-43211.815700000174, 165143.86609999955], [-43211.50079999962, 165140.62150000077], [-43215.52990000043, 165140.87329999902], [-43219.810800000094, 165141.88060000006], [-43222.643799999685, 165143.76920000074], [-43225.35079999996, 165145.90970000008], [-43226.924700000345, 165147.8613000015], [-43228.12079999964, 165150.19060000044], [-43229.00219999997, 165154.40850000086], [-43229.12810000028, 165159.00420000075], [-43226.34999999959, 165158.99000000005], [-43226.0300000002, 165152.99000000057], [-43224.370000000294, 165149.59999999928], [-43223.29000000001, 165148.17000000124], [-43220.45000000012, 165145.60999999943], [-43217.95000000016, 165144.31000000023]]]"
16,Estacionamento,no troço compreendido entre a Rua de Francisco da Rocha Soares e a e o Largo de S. Pedro de Miragaia,Manutenção de elementos da via pública,1595635200000,1597795200000,"",1604534400000,41.14160,-8.619750,13595,"[[[-40701.809999999554, 163774.27999999936], [-40711.57000000035, 163773.65000000023], [-40742.58000000011, 163791.449999999], [-40761.320000000334, 163806.0199999983], [-40801.20000000013, 163825.58999999944], [-40818.559999999576, 163833.91000000035], [-40829.66999999987, 163838.480000001], [-40839.312099999726, 163842.75759999963], [-40853.62000000001, 163849.0699999998], [-40858.719999999725, 163852.01999999932], [-40866.76999999957, 163858.78999999963], [-40870.69000000044, 163862.41000000003], [-40873.00999999983, 163863.38000000088], [-40871.83939999996, 163864.49360000005], [-40862.13049999997, 163855.70389999964], [-40856.55790000034, 163851.4526999999], [-40843.80420000016, 163845.65029999986], [-40827.029099999956, 163838.18190000032], [-40816.97539999982, 163834.13179999957], [-40760.67530000029, 163806.95830000052], [-40741.2430999998, 163792.02199999985], [-40711.32639999962, 163775.07399999927], [-40701.90469999979, 163775.70590000032], [-40701.809999999554, 163774.27999999936]]]"
17,Corte total,"",Manutenção de elementos da via pública,1597449600000,1600819200000,"",1604534400000,41.14259,-8.620717,13596,"[[[-40875.43300000014, 163867.9373000002], [-40869.659400000266, 163872.1598000001], [-40868.07950000002, 163874.1417999996], [-40867.87849999982, 163875.80780000167], [-40861.318500000096, 163880.98550000042], [-40859.83559999984, 163882.15589999958], [-40859.46219999999, 163883.3049], [-40861.84630000026, 163890.85950000054], [-40865.523100000064, 163908.38149999978], [-40865.063500000215, 163919.58410000007], [-40862.36330000028, 163939.6337999993], [-40852.86369999957, 163967.21629999956], [-40853.8978000004, 163980.77430000028], [-40841.19330000042, 163983.23780000015], [-40851.649100000075, 163966.0030000005], [-40857.96850000029, 163948.36610000004], [-40860.66860000041, 163938.42740000068], [-40862.679299999945, 163926.42049999814], [-40863.94319999968, 163909.6454000005], [-40860.8121999994, 163893.35849999968], [-40855.67050000003, 163882.78790000064], [-40859.74940000014, 163873.4811000004], [-40860.18030000006, 163873.13640000057], [-40861.09949999954, 163873.02150000122], [-40862.04739999953, 163873.16510000086], [-40863.11019999992, 163872.99280000012], [-40866.0400999998, 163871.24059999918], [-40868.48410000002, 163868.97020000088], [-40871.83939999996, 163864.49360000005], [-40873.00999999983, 163863.38000000088], [-40875.43300000014, 163867.9373000002]]]"
18,Estacionamento,Entre  Rua do Duque da Terceira e o Largo de Soares dos Reis,Manutenção do arvoredo,1618358400000,1618790400000,"DMEV, das 9:00 às 17:00",1616112000000,41.14515,-8.598734,13597,"[[[-39034.59999999962, 164195.26], [-39032.84999999959, 164197.5], [-38990.4100000003, 164200.03999999963], [-38988.48000000042, 164198.00999999963], [-39034.59999999962, 164195.26]], [[-38989.41999999991, 164186.30000000066], [-39031.90000000022, 164183.71000000124], [-39033.83000000012, 164185.71000000075], [-38988.080000000075, 164188.48000000027], [-38989.41999999991, 164186.30000000066]], [[-38921.67999999969, 164192.5299999991], [-38907.54999999977, 164193.35999999923], [-38921.69000000046, 164192.51999999973], [-38921.70000000019, 164190.36999999871], [-38959.00999999981, 164188.1400000006], [-38960.280000000326, 164190.1699999996], [-38921.67999999969, 164192.5299999991]], [[-38927.620000000075, 164201.66999999943], [-38925.879999999954, 164203.9000000004], [-38895.789999999935, 164205.68999999992], [-38893.5, 164203.69999999876], [-38927.620000000075, 164201.66999999943]], [[-38958.78999999999, 164199.82999999984], [-38957.49000000027, 164202.03999999908], [-38941.490000000354, 164202.98000000036], [-38939.570000000254, 164200.9299999996], [-38958.78999999999, 164199.82999999984]], [[-38907.54999999977, 164193.35999999923], [-38892.8899999997, 164194.2100000004], [-38894.929999999666, 164191.9499999993], [-38905.29000000005, 164191.36999999898], [-38907.54999999977, 164193.35999999923]]]"
19,Estreitamento,entre a Rua da Senhora da Ajuda e a Rua de Sobreiras,Passagem de cabo de fibra ótica,1651618800000,1651791600000,das 00H às 07H e das 21H às 24H,1649804400000,41.14804,-8.654926,13598,"[[[-43736.58669999996, 164556.88829999967], [-43727.068900000326, 164563.06540000084], [-43723.85429999978, 164557.45560000083], [-43721.900299999754, 164549.32459999982], [-43721.333100000535, 164538.8613000006], [-43722.84580000021, 164526.7592999986], [-43732.74179999996, 164523.73379999958], [-43730.787800000006, 164526.00290000063], [-43728.51869999986, 164531.10849999977], [-43727.44710000043, 164538.23100000076], [-43727.95139999959, 164542.8322999997], [-43730.3465999998, 164546.23599999992], [-43732.930899999985, 164547.62270000036], [-43733.813299999565, 164548.3160999996], [-43736.58669999996, 164556.88829999967]]]"
20,Estreitamento,"No troço compreendido entre o n.º 234 e o n.º 264, numa extensão de aproximadamente 30 metros",Obras públicas,1616371200000,1616457600000,Das 10:00 às 16:00 horas,1616284800000,41.15952,-8.612511,13600,"[[[-40163.029500000164, 165784.9685999993], [-40157.54339999988, 165814.51449999964], [-40155.89800000003, 165814.20900000117], [-40161.38410000034, 165784.6631], [-40163.029500000164, 165784.9685999993]]]"
21,Estreitamento,"No troço compreendido entre o n.º 378 e o n.º 386, numa extensão de aproximadamente 22 metros",Obras públicas,1616371200000,1616716800000,"",1616284800000,41.17331,-8.592345,13601,"[[[-38465.12430000021, 167330.11630000002], [-38448.4804999996, 167317.4127999989], [-38452.16870000011, 167312.5807000005], [-38468.81240000015, 167325.2841999995], [-38465.12430000021, 167330.11630000002]]]"
